# Few-shot examples for style_name_system_prompt.txt, tab separated.
#
# Regenerated by:
#   API/.venv/bin/python test_scripts/style_name_bench.py \
#       --data <pairs.jsonl> --limit 160 --seed 7 --dump-examples utils/prompts/style_name_examples.txt
# so the shipped prompt always carries the examples a scored run actually used.
#
# Stored as fields rather than as rendered prompt text on purpose: style_name_service
# renders these through the SAME item_block() the live item goes through, so an edit to
# that function can never leave the examples showing the model a different shape of input.
# .txt rather than .json because .gitignore blanket-ignores *.json, and this is a runtime
# asset the service cannot start without.
#
product_id	o_style	brand	product_type	o_color	o_title	d_style
PRP-MBTM-0011	LYOCELL PULL ON SHORTS	Purple Brand	Men's Shorts	MULTI	Purple Brand MULTI LYOCELL PULL ON SHORTS	Lyocell Pull On Shorts
ONR-MSNK-0006	Cloudboom Next PAF Mens	ON RUNNING	Men's Sneakers	Embler | Pebble	ON RUNNING Embler | Pebble Cloudboom Next PAF Mens	Cloudboom Next PAF Mens
MSG-MTPS-0001	Tee	Mood Swings	Men's T-shirts	Black	Mood Swings Black Tee	Racing T-shirt
MDR-MHDS-0040	GREEN SPECIAL OPS HOODIE	Murder FM	Men's Hoodies	Green	Murder FM Green GREEN SPECIAL OPS HOODIE	Green Special Ops Hoodie
PRP-MBTM-0002	WOVEN CARGO PANT	Purple Brand	Men's Cargo Pants	BLACK	Purple Brand BLACK WOVEN CARGO PANT	Woven Cargo Pants
424-MBTM-0044	SPORT SHORTS BLACK	424	Men's Shorts	BLACK	424 BLACK SPORT SHORTS BLACK	Sport Shorts
VNS-MSNK-2018	LX OLD SKOOL 36	Vans	Men's Sneakers	Souvenir Faded Black	Vans Souvenir Faded Black LX OLD SKOOL 36	LX Old Skool 36 Sneakers
SP5-XACC-0013		SP5DER	Men's Hats		SP5-XACC-0013/OS H05FW24BRN Brown/Orange SP5DER Web Trucker Hat	Web Trucker Hat
OFW-MHDS-0217	OFF FRENCH TERRY HOODIE	Off-White c/o Virgil Abloh	Men's Hoodies	BLACK	Off-White c/o Virgil Abloh BLACK OFF FRENCH TERRY HOODIE	"OFF" French Terry Hoodie
WDW-MOTW-0015		Who Decides War	Men's Parkas	Green	NWT WHO DECIDES WAR GREEN WINDOW POCKET PARKA	Window Pocket Parka
SUP-MHDS-0008		Supreme	Men's Crewneck Sweatshirts		SUP-MHDS-0008/XL CHILD_OF_HELL_SWEATER_BLACK BLACK  Supreme CHILD OF HELL SWEATER	Child of Hell Cowichan Sweater
AWC-MSNK-0002	CHAVARRIA MEGARIDE COPA	Adidas x Willy Chavarria	Men's Sneakers	core black/off white/core black	Adidas x Willy Chavarria core black/off white/core black CHAVARRIA MEGARIDE COPA	Megaride Copa Sneakers
ADS-MSNK-2039	GAZELLE INDOOR SNEAKERS	adidas	Men's Sneakers	BLACK/WHITE	adidas BLACK/WHITE GAZELLE INDOOR SNEAKERS	Gazelle Indoor Sneakers
SNO-MOTW-0001	Truck Stop Leather Jacket	SATOSHI NAKAMOTO	Men's Leather Jackets	Black	SATOSHI NAKAMOTO Black Truck Stop Leather Jacket	Truck Stop Leather Jacket
CFM-XTSH-0004	Kanye Christmas Party LS T-Shirt	Cactus Plant Flea Market	Men's T-shirts	Cream	Cactus Plant Flea Market Cream Kanye Christmas Party LS T-Shirt	Kanye Christmas Party LS T-Shirt
AMR-MACC-0167	JACQUARD TIE DYE RUCKSACK	Amiri	Men's Messenger Bags	Baby Blue	Amiri Baby Blue JACQUARD TIE DYE RUCKSACK	Jacquard Logo Tie Dye Rucksack
HDN-MHDS-0003	Dusk Running Man Constellation Zip Hoodie	HIDDEN	Men's Hoodies	Black	HIDDEN Black Dusk Running Man Constellation Zip Hoodie	Dusk Running Man Constellation Zip Hoodie
75LE-1318		Fendi	Women's T-shirts	White	NWT FENDI x KARL LAGERFELD White Cotton 'Karl Monster' T-Shirt	Cotton 'Karl Monster' T-Shirt
DNT-MJNS-0035	Type-2 Raw Denim Work Jacket	Denim Tears	Men's Denim Jackets	Indigo Blue	Denim Tears Indigo Blue Type-2 Raw Denim Work Jacket	Type-2 Raw Denim Work Jacket
RHD-MACC-0057	SWIM TRUNKS	Rhude	Men's Swim Trunks	Green	Rhude Green SWIM TRUNKS	Grasse Swim Trunks
SP5-MHDS-0031	ANGEL NUMBER HOODIE	SP5DER	Men's Hoodies	Pink	SP5DER Pink ANGEL NUMBER HOODIE	Angel Number Hoodie
DNT-MHDS-0136	Dollar Burning Hoodie Burning Print	Denim Tears	Men's Hoodies	Red	Denim Tears Red Dollar Burning Hoodie Burning Print	Burn It All
MDR-MACC-0020	3 PACK CALF SOCKS BLACK	Murder FM	Men's Socks	Black	Murder FM Black 3 PACK CALF SOCKS BLACK	3 Pack Calf Socks
AMR-MOTW-0063	BONES JACKET	Amiri	Men's Bombers	Red	Amiri Red BONES JACKET	Bones Jacket
PRP-MTPS-0042	Textured Inside Out T-shirt	Purple Brand	Men's T-shirts	Black Beauty	Purple Brand Black Beauty Textured Inside Out T-shirt	Textured Inside Out T-shirt
ONR-MSNK-0005	Cloudboom Next PAF Mens	ON RUNNING	Men's Sneakers	White | Gale	ON RUNNING White | Gale Cloudboom Next PAF Mens	Cloudboom Next PAF Mens
PRP-XBTM-0092		Purple Brand	Men's Cargo Pants	Black	NWT Purple Brand BLACK MONOGRAM LEOPARD PRINT Black CARGO PANT	Monogram Leopard Print Cargo Pants
424-MTPS-0040	VIRGIN MARY SALT WHITE	424	Men's T-shirts	SALT WHITE	424 SALT WHITE VIRGIN MARY SALT WHITE	Virgin Mary T-shirt
SP5-MBTM-0029	Red OG Web V2 Sweatpant	SP5DER	Men's Sweatpants	Red	SP5DER Red Red OG Web V2 Sweatpant	OG Web V2 Sweatpants
SUP-MHDS-0007		Supreme	Men's Hoodies		SUP-MHDS-0007/M JUMPMAN_HOODIE_BLACK Black Supreme JUMPMAN HOODIE	Jumpman Hoodie
AWC-MSNK-0001	WILLY MEGA LOW	Adidas x Willy Chavarria	Men's Sneakers	core black/cream white/core black	Adidas x Willy Chavarria core black/cream white/core black WILLY MEGA LOW	Megaride Bones Sneakers
AMR-MBTM-0185	AMIRI 22 SHORTS	Amiri	Men's Shorts	Bluefin	Amiri Bluefin AMIRI 22 SHORTS	22 Shorts
DNT-MBTM-0058	Non-Denim Bottoms	Denim Tears	Men's Chinos & Khakis	Multicolor	Denim Tears Multicolor Non-Denim Bottoms	Non-Denim Bottoms
RHD-MBTM-0024		Rhude	Men's Cargo Pants	Black	NWT RHUDE BLACK TWILL CARGO PANTS	Twill Cargo Pants
SP5-MACC-0034	CONTRAST TOTE	SP5DER	Men's Messenger Bags	Grey	SP5DER Grey CONTRAST TOTE	CONTRAST TOTE
DNT-MHDS-0120	Cotton Wreath Hoodie Charcoal	Denim Tears	Men's Hoodies	Grey	Denim Tears Grey Cotton Wreath Hoodie Charcoal	Cotton Wreath Hoodie
AMR-MACC-0169	MA 4CM BELT	Amiri	Men's Belts	Black	Amiri Black MA 4CM BELT	MA 4cm Belt
PRP-MBTM-0012	LYOCELL PULL ON SHORTS	Purple Brand	Men's Shorts	MULTI	Purple Brand MULTI LYOCELL PULL ON SHORTS	Lyocell Pull On Shorts
